day,count
7,1450
22,1381
20,1366
21,1359
15,1253
19,1233
14,1006
26,1003
12,861
5,825
8,793
13,788
6,727
18,707
25,695
16,673
27,547
4,522
11,517
3,471
23,400
17,366
2,351
1,338
24,278
10,253
9,232
