hour,count
12,1408
14,1329
13,1296
15,1195
17,1192
16,1183
11,1167
9,1148
18,1076
19,1033
10,989
20,964
21,922
8,810
22,796
23,654
1,577
0,499
7,470
2,467
3,385
6,351
4,266
5,218
